ISO,FILENAME,MEAN_VALUE
LTU,t5,0.0
LTU,t3,0.0
LTU,t2,0.0
LTU,a3,0.0
LTU,cr2,36.0
LTU,cr4,36.0
LTU,p2,100.0
LTU,a1,100.0
LTU,t6,0.0
LTU,h2,100.0
LTU,cv5b,12.0
LTU,a2,0.0
LTU,h1,100.0
LTU,t4,0.0
LTU,h5,100.0
LTU,cr1,5.0
LTU,h6,
LTU,h4,100.0
LTU,t1,100.0
ECU,h3,100.0
ECU,t5,0.0
ECU,t3,0.0
ECU,t2,0.0
ECU,a3,0.0
ECU,cr2,10.0
ECU,cr4,22.0
ECU,p2,100.0
ECU,a1,100.0
ECU,t6,0.0
ECU,h2,100.0
ECU,cv5b,12.0
ECU,a2,0.0
ECU,h1,100.0
ECU,t4,0.0
ECU,h5,100.0
ECU,cr1,5.0
ECU,h6,
ECU,h4,100.0
ECU,t1,100.0
ITA,h3,100.0
ITA,t5,0.0
ITA,t3,0.0
ITA,t2,0.0
ITA,a3,0.0
ITA,cr2,72.0
ITA,cr4,72.0
ITA,p2,100.0
ITA,a1,100.0
ITA,t6,0.0
ITA,h2,100.0
ITA,cv5b,12.0
ITA,a2,0.0
ITA,h1,100.0
ITA,t4,0.0
ITA,h5,100.0
ITA,cr1,5.0
ITA,h6,
ITA,h4,100.0
ITA,t1,100.0
VNM,h3,100.0
VNM,t5,0.0
VNM,t3,0.0
VNM,t2,0.0
VNM,a3,0.0
VNM,cr2,33.0
VNM,cr4,33.0
VNM,p2,100.0
VNM,a1,100.0
VNM,t6,0.0
VNM,h2,100.0
VNM,cv5b,12.0
VNM,a2,0.0
VNM,h1,100.0
VNM,t4,0.0
VNM,h5,100.0
VNM,cr1,5.0
VNM,h6,
VNM,h4,100.0
VNM,t1,100.0
HUN,h3,100.0
HUN,t5,0.0
HUN,t3,0.0
HUN,t2,0.0
HUN,a3,0.0
HUN,cr2,36.0
HUN,cr4,36.0
HUN,p2,100.0
HUN,a1,100.0
HUN,t6,0.0
HUN,h2,100.0
HUN,cv5b,12.0
HUN,a2,0.0
HUN,h1,100.0
HUN,t4,0.0
HUN,h5,100.0
HUN,cr1,5.0
HUN,h6,
HUN,h4,100.0
HUN,t1,100.0
KAZ,h3,100.0
KAZ,t5,0.0
KAZ,t3,0.0
KAZ,t2,0.0
KAZ,a3,0.0
KAZ,cr2,33.0
KAZ,cr4,33.0
KAZ,p2,100.0
KAZ,a1,100.0
KAZ,t6,0.0
KAZ,h2,100.0
KAZ,cv5b,12.0
KAZ,a2,0.0
KAZ,h1,100.0
KAZ,t4,0.0
KAZ,h5,100.0
KAZ,cr1,5.0
KAZ,h6,
KAZ,h4,100.0
KAZ,t1,100.0
DEU,h3,100.0
DEU,t5,0.0
DEU,t3,0.0
DEU,t2,0.0
DEU,a3,0.0
DEU,cr2,72.0
DEU,cr4,72.0
DEU,p2,100.0
DEU,a1,100.0
DEU,t6,0.0
DEU,h2,100.0
DEU,cv5b,12.0
DEU,a2,0.0
DEU,h1,100.0
DEU,t4,0.0
DEU,h5,100.0
DEU,cr1,5.0
DEU,h6,
DEU,h4,100.0
DEU,t1,100.0
ZWE,h3,100.0
ZWE,t5,0.0
ZWE,t3,0.0
ZWE,t2,0.0
ZWE,a3,0.0
ZWE,cr2,5.0
ZWE,cr4,11.0
ZWE,p2,100.0
ZWE,a1,100.0
ZWE,t6,0.0
ZWE,h2,100.0
ZWE,cv5b,12.0
ZWE,a2,0.0
ZWE,h1,100.0
ZWE,t4,0.0
ZWE,h5,100.0
ZWE,cr1,5.0
ZWE,h6,
ZWE,h4,100.0
ZWE,t1,100.0
NGA,h3,100.0
NGA,t5,0.0
NGA,t3,0.0
NGA,t2,0.0
NGA,a3,0.0
NGA,cr2,5.0
NGA,cr4,11.0
NGA,p2,100.0
NGA,a1,100.0
NGA,t6,0.0
NGA,h2,100.0
NGA,cv5b,12.0
NGA,a2,0.0
NGA,h1,100.0
NGA,t4,0.0
NGA,h5,100.0
NGA,cr1,5.0
NGA,h6,
NGA,h4,100.0
NGA,t1,100.0
CRI,h3,100.0
CRI,t5,0.0
CRI,t3,0.0
CRI,t2,0.0
CRI,a3,0.0
CRI,cr2,10.0
CRI,cr4,22.0
CRI,p2,100.0
CRI,a1,100.0
CRI,t6,0.0
CRI,h2,100.0
CRI,cv5b,12.0
CRI,a2,0.0
CRI,h1,100.0
CRI,t4,0.0
CRI,h5,100.0
CRI,cr1,5.0
CRI,h6,
CRI,h4,100.0
CRI,t1,100.0
SAU,h3,100.0
SAU,t5,0.0
SAU,t3,0.0
SAU,t2,0.0
SAU,a3,0.0
SAU,cr2,10.0
SAU,cr4,22.0
SAU,p2,100.0
